2,0,112,3864
2,1,112,3865
0,0,113,3878
0,1,113,3871
1,0,113,3872
1,1,113,3873
2,0,113,3874
2,1,113,3875
0,0,114,3128
0,1,114,3121
2,0,114,3124
2,1,114,3125
3,0,114,3126
3,1,114,3127
0,0,115,3138
0,1,115,3131
2,0,115,3134
2,1,115,3135
3,0,115,3136
3,1,115,3137
0,0,116,3148
0,1,116,3141
1,0,116,3142
1,1,116,3143
3,0,116,3146
3,1,116,3147
0,0,117,3158
0,1,117,3151
1,0,117,3152
1,1,117,3153
3,0,117,3156
3,1,117,3157
0,0,118,3168
0,1,118,3161
1,0,118,3162
1,1,118,3163
2,0,118,3164
2,1,118,3165
0,0,119,3178
0,1,119,3171
1,0,119,3172
1,1,119,3173
2,0,119,3174
2,1,119,3175
1,0,120,3482
1,1,120,3483
2,0,120,3484
2,1,120,3485
3,0,120,3486
3,1,120,3487
1,0,121,3412
1,1,121,3413
2,0,121,3414
2,1,121,3415
3,0,121,3416
3,1,121,3417
0,0,122,3428
0,1,122,3421
2,0,122,3424
2,1,122,3425
3,0,122,3426
3,1,122,3427
0,0,123,3438
0,1,123,3431
2,0,123,3434
2,1,123,3435
3,0,123,3436
3,1,123,3437
0,0,124,3468
0,1,124,3461
1,0,124,3462
1,1,124,3463
2,0,124,3464
2,1,124,3465
0,0,125,3478
0,1,125,3471
1,0,125,3472
1,1,125,3473
2,0,125,3474
2,1,125,3475
1,0,126,3582
1,1,126,3583
2,0,126,3584
2,1,126,3585
3,0,126,3586
3,1,126,3587
1,0,127,3512
1,1,127,3513
2,0,127,3514
2,1,127,3515
3,0,127,3516
3,1,127,3517
0,0,128,3528
0,1,128,3521
2,0,128,3524
2,1,128,3525
3,0,128,3526
3,1,128,3527
0,0,129,3538
0,1,129,3531
2,0,129,3534
2,1,129,3535
3,0,129,3536
3,1,129,3537
0,0,130,3568
0,1,130,3561
1,0,130,3562
1,1,130,3563
2,0,130,3564
2,1,130,3565
0,0,131,3578
0,1,131,3571
1,0,131,3572
1,1,131,3573
2,0,131,3574
2,1,131,3575
1,0,132,3682
1,1,132,3683
2,0,132,3684
2,1,132,3685
3,0,132,3686
3,1,132,3687
1,0,133,3612
1,1,133,3613
2,0,133,3614
2,1,133,3615
3,0,133,3616
3,1,133,3617
0,0,134,3628
0,1,134,3621
2,0,134,3624
2,1,134,3625
3,0,134,3626
3,1,134,3627
0,0,135,3638
0,1,135,3631
2,0,135,3634
2,1,135,3635
3,0,135,3636
3,1,135,3637
0,0,136,3648
0,1,136,3641
1,0,136,3642
1,1,136,3643
3,0,136,3646
3,1,136,3647
0,0,137,3658
0,1,137,3651
1,0,137,3652
1,1,137,3653
3,0,137,3656
3,1,137,3657
1,0,138,3782
1,1,138,3783
2,0,138,3784
2,1,138,3785
3,0,138,3786
3,1,138,3787
1,0,139,3712
1,1,139,3713
2,0,139,3714
2,1,139,3715
3,0,139,3716
3,1,139,3717
0,0,140,3728
0,1,140,3721
2,0,140,3724
2,1,140,3725
3,0,140,3726
3,1,140,3727
0,0,141,3738
0,1,141,3731
2,0,141,3734
2,1,141,3735
3,0,141,3736
3,1,141,3737
0,0,142,3748
0,1,142,3741
1,0,142,3742
1,1,142,3743
3,0,142,3746
3,1,142,3747
0,0,143,3758
0,1,143,3751
1,0,143,3752
1,1,143,3753
3,0,143,3756
3,1,143,3757
0,0,144,4828
0,1,144,4821
2,0,144,4824
2,1,144,4825
3,0,144,4826
3,1,144,4827
0,0,145,4838
0,1,145,4831
2,0,145,4834
2,1,145,4835
3,0,145,4836
3,1,145,4837
0,0,146,4848
0,1,146,4841
1,0,146,4842
1,1,146,4843
3,0,146,4846
3,1,146,4847
0,0,147,4858
0,1,147,4851
1,0,147,4852
1,1,147,4853
3,0,147,4856
3,1,147,4857
0,0,148,4868
0,1,148,4861
1,0,148,4862
1,1,148,4863
2,0,148,4864
2,1,148,4865
0,0,149,4878
0,1,149,4871
1,0,149,4872
1,1,149,4873
2,0,149,4874
2,1,149,4875
0,0,150,4128
0,1,150,4121
2,0,150,4124
2,1,150,4125
3,0,150,4126
3,1,150,4127
0,0,151,4138
0,1,151,4131
2,0,151,4134
2,1,151,4135
3,0,151,4136
3,1,151,4137
0,0,152,4148
0,1,152,4141
1,0,152,4142
1,1,152,4143
3,0,152,4146
3,1,152,4147
0,0,153,4158
0,1,153,4151
1,0,153,4152
1,1,153,4153
3,0,153,4156
3,1,153,4157
0,0,154,4168
0,1,154,4161
1,0,154,4162
1,1,154,4163
2,0,154,4164
2,1,154,4165
0,0,155,4178
0,1,155,4171
1,0,155,4172
1,1,155,4173
2,0,155,4174
2,1,155,4175
1,0,156,4282
1,1,156,4283
2,0,156,4284
2,1,156,4285
3,0,156,4286
3,1,156,4287
1,0,157,4212
1,1,157,4213
2,0,157,4214
2,1,157,4215
3,0,157,4216
3,1,157,4217
0,0,158,4248
0,1,158,4241
1,0,158,4242
1,1,158,4243
3,0,158,4246
3,1,158,4247
0,0,159,4258
0,1,159,4251
1,0,159,4252
1,1,159,4253
3,0,159,4256
3,1,159,4257
0,0,160,4268
0,1,160,4261
1,0,160,4262
1,1,160,4263
2,0,160,4264
2,1,160,4265
0,0,161,4278
0,1,161,4271
1,0,161,4272
1,1,161,4273
2,0,161,4274
2,1,161,4275
1,0,162,4382
1,1,162,4383
2,0,162,4384
2,1,162,4385
3,0,162,4386
3,1,162,4387
1,0,163,4312
1,1,163,4313
2,0,163,4314
2,1,163,4315
3,0,163,4316
3,1,163,4317
0,0,164,4348
0,1,164,4341
1,0,164,4342
1,1,164,4343
3,0,164,4346
3,1,164,4347
0,0,165,4358
0,1,165,4351
1,0,165,4352
1,1,165,4353
3,0,165,4356
3,1,165,4357
0,0,166,4368
0,1,166,4361
1,0,166,4362
1,1,166,4363
2,0,166,4364
2,1,166,4365
0,0,167,4378
0,1,167,4371
1,0,167,4372
1,1,167,4373
2,0,167,4374
2,1,167,4375
1,0,168,4682
1,1,168,4683
2,0,168,4684
2,1,168,4685
3,0,168,4686
3,1,168,4687
1,0,169,4612
1,1,169,4613
2,0,169,4614
2,1,169,4615
3,0,169,4616
3,1,169,4617
0,0,170,4628
0,1,170,4621
2,0,170,4624
2,1,170,4625
3,0,170,4626
3,1,170,4627
0,0,171,4638
0,1,171,4631
2,0,171,4634
2,1,171,4635
3,0,171,4636
3,1,171,4637
0,0,172,4648
0,1,172,4641
1,0,172,4642
1,1,172,4643
3,0,172,4646
3,1,172,4647
0,0,173,4658
0,1,173,4651
1,0,173,4652
1,1,173,4653
3,0,173,4656
3,1,173,4657
1,0,174,4782
1,1,174,4783
2,0,174,4784
2,1,174,4785
3,0,174,4786
3,1,174,4787
1,0,175,4712
1,1,175,4713
2,0,175,4714
2,1,175,4715
3,0,175,4716
3,1,175,4717
0,0,176,4728
0,1,176,4721
2,0,176,4724
2,1,176,4725
3,0,176,4726
3,1,176,4727
0,0,177,4738
0,1,177,4731
2,0,177,4734
2,1,177,4735
3,0,177,4736
3,1,177,4737
0,0,178,4748
0,1,178,4741
1,0,178,4742
1,1,178,4743
3,0,178,4746
3,1,178,4747
0,0,179,4758
0,1,179,4751
1,0,179,4752
1,1,179,4753
3,0,179,4756
3,1,179,4757
0,0,180,5828
0,1,180,5821
2,0,180,5824
2,1,180,5825
3,0,180,5826
3,1,180,5827
0,0,181,5838
0,1,181,5831
2,0,181,5834
2,1,181,5835
3,0,181,5836
3,1,181,5837
0,0,182,5848
0,1,182,5841
1,0,182,5842
1,1,182,5843
3,0,182,5846
3,1,182,5847
0,0,183,5858
0,1,183,5851
1,0,183,5852
1,1,183,5853
3,0,183,5856
3,1,183,5857
0,0,184,5868
0,1,184,5861
1,0,184,5862
1,1,184,5863
2,0,184,5864
2,1,184,5865
0,0,185,5878
0,1,185,5871
1,0,185,5872
1,1,185,5873
2,0,185,5874
2,1,185,5875
0,0,186,5128
0,1,186,5121
2,0,186,5124
2,1,186,5125
3,0,186,5126
3,1,186,5127
0,0,187,5138
0,1,187,5131
2,0,187,5134
2,1,187,5135
3,0,187,5136
3,1,187,5137
0,0,188,5148
0,1,188,5141
1,0,188,5142
1,1,188,5143
3,0,188,5146
3,1,188,5147
0,0,189,5158
0,1,189,5151
1,0,189,5152
1,1,189,5153
3,0,189,5156
3,1,189,5157
0,0,190,5168
0,1,190,5161
1,0,190,5162
1,1,190,5163
2,0,190,5164
2,1,190,5165
0,0,191,5178
0,1,191,5171
1,0,191,5172
1,1,191,5173
2,0,191,5174
2,1,191,5175
1,0,192,5282
1,1,192,5283
2,0,192,5284
2,1,192,5285
3,0,192,5286
3,1,192,5287
1,0,193,5212
1,1,193,5213
2,0,193,5214
2,1,193,5215
3,0,193,5216
3,1,193,5217
0,0,194,5248
0,1,194,5241
1,0,194,5242
1,1,194,5243
3,0,194,5246
3,1,194,5247
0,0,195,5258
0,1,195,5251
